problem,Facebook metrics,Facebook metrics,Facebook metrics,Facebook metrics,Forest fires,Forest fires,Forest fires,Forest fires,Aquatic toxicity,Aquatic toxicity,Aquatic toxicity,Aquatic toxicity,Fish toxicity,Fish toxicity,Fish toxicity,Fish toxicity,Airfoil noise,Airfoil noise,Airfoil noise,Airfoil noise,Concrete strenght,Concrete strenght,Concrete strenght,Concrete strenght
bucket,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5
trial,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0007734539303637716,0.0008229727112930716,0.0006267129425115542,0.000770767913305642,0.04830557071276439,0.0448269250414964,0.04556813196118635,0.04653597893604779,0.019811222732815183,0.01545213942354304,0.026847464209348817,0.021515064571559807,0.009307709695681296,0.009653832438432241,0.009476910870766296,0.010762742815849593,0.0158165321535422,0.013736869573212502,0.016021989373878314,0.013468497888844322,0.013632698478427218,0.014736348858816747,0.044761016597509806,0.012342333465178339
1,0.0011892455073828007,0.0007087399256510313,0.0007312639190215174,0.0003867325194710745,0.046700336545847494,0.04608520627160065,0.04537958788471546,0.04511418033193215,0.02284792669948834,0.019111501881921112,0.020124265237485645,0.0171701717075089,0.010889153744200837,0.009649736509256355,0.009228276693374095,0.011546080017241866,0.012561018642442945,0.014537579771228576,0.013389465802585465,0.012754923107588908,0.013737031651336551,0.013083899560091946,0.010441111728432722,0.012960399204317798
2,0.0007103532088926132,0.0006709293270461508,0.0009493135408213688,0.0008167139876718814,0.05371280861726942,0.04469189596983866,0.046133070626170156,0.04448752050163645,0.04677054027306113,0.025067361839382088,0.02360367279373176,0.01744402759031452,0.00891756108424542,0.009615517527909042,0.009957569950875137,0.013688710402385063,0.028977866786017593,0.016018980770517218,0.01376802869829456,0.0158022594147475,0.031248047655656596,0.012885734789563579,0.01606773809615632,0.034154996636739154
3,0.0006032388780843107,0.003512336898145122,0.0016714811196418813,0.00109171365168041,0.045504470246602556,0.04647663034607414,0.04595516962355737,0.04903631457564469,0.0192781650013617,0.018336910128916747,0.022640565799700932,0.01438389406397213,0.01116570143088037,0.009904988378262303,0.008907741798128985,0.014310579176708929,0.01248884116993328,0.029819236706021206,0.014416006167868107,0.013241308944880232,0.015935497711536312,0.01142113145666958,0.01050552127742443,0.026752951259809095
4,0.001211547055681778,0.0006198841906071872,0.001985778639770162,0.0011888255501997498,0.046630152702297756,0.045844865377283106,0.0494419306069459,0.05239532474930441,0.024163751126002248,0.01718797183773958,0.017609022771239005,0.023462810256209336,0.010396667418329062,0.02712000249469709,0.009884550937781197,0.010688883435618628,0.011493854012611465,0.015628351382227568,0.01050858733964243,0.029911304830207895,0.029130134804487083,0.01067017031845704,0.013913226747130133,0.016138586881299533
5,0.0006488326445426998,0.0005605110929420877,0.0005859295141141893,0.0007874132501225385,0.04737130945207753,0.04635045634343306,0.04892233373577669,0.04587997907280819,0.020012685516066456,0.017569707250369673,0.020192879974226724,0.016766373202510926,0.025777680227771924,0.009617521323608548,0.0176804265257005,0.009470545510991083,0.016156879248970114,0.013614622353973559,0.014425040677715798,0.029817312215038416,0.014113825801589973,0.030187781221393838,0.015529997945698338,0.013609716951412375
6,0.001124917697333156,0.0007842918822575973,0.0007639307733071395,0.0006134095389491406,0.04861720046236336,0.04682940853268794,0.047021985114895734,0.04677460515314329,0.017445819077472235,0.019831252696249427,0.022636991339444443,0.020111200322277843,0.009690585276334067,0.009482647505388,0.010753240821698254,0.00996698537708042,0.029835744924409584,0.0127546857842576,0.013405048775272628,0.010555916031573534,0.009367322839306195,0.014738200880000874,0.010902695319091141,0.014781058181598732
7,0.0006008402426483649,0.0009421662236479532,0.0007070006653025512,0.0008506414451190629,0.044647442901562605,0.10361527222333271,0.045035670127854165,0.04305458822500327,0.022369754807568514,0.019855272113982286,0.015617818152540949,0.01800075116422574,0.01020226394745526,0.008854279818728952,0.010662563340703174,0.010871023338450919,0.012948758214026905,0.01531110348394465,0.011541273248915788,0.014151845569881083,0.012313501245676607,0.009960869123970657,0.01210600865798675,0.012765399478672099
8,0.0006595424892123575,0.0007729748214408119,0.023355786820630647,0.00114754129711763,0.04632115594960051,0.045985240378014894,0.04664517370263969,0.046448083999816946,0.02450472178662814,0.01728700956360961,0.02752925703453918,0.02091309506607582,0.009676295184770733,0.013179539073954832,0.012481764628405802,0.009515060811469174,0.014928203989983579,0.013303138559079268,0.012462178957171178,0.016069595276453155,0.009120274244345656,0.0169317212571199,0.013640925231053246,0.007013542893579198
9,0.0018994005038798245,0.00089649669883737,0.000868251508719319,0.0009617224427914094,0.04658493234275663,0.04594068317684584,0.04474359656714065,0.0494981613908174,0.017637618056153062,0.02139736814554897,0.017901648502947214,0.018538420281092975,0.009311892154736816,0.013189297404223553,0.011225338299273862,0.009535781993538054,0.015564109470267047,0.013403999854294165,0.013303798438811057,0.020108311143504393,0.01564128519467827,0.012113343051010009,0.009546857848235071,0.011771158252579168
