problem,Facebook metrics,Facebook metrics,Facebook metrics,Facebook metrics,Forest fires,Forest fires,Forest fires,Forest fires,Aquatic toxicity,Aquatic toxicity,Aquatic toxicity,Aquatic toxicity,Fish toxicity,Fish toxicity,Fish toxicity,Fish toxicity,Airfoil noise,Airfoil noise,Airfoil noise,Airfoil noise,Concrete strenght,Concrete strenght,Concrete strenght,Concrete strenght
bucket,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5
trial,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0014609501451134795,0.0016918926524602286,0.0013393949216649393,0.0010849106735243124,0.04612841732216477,0.046150482807285516,0.0448813680674473,0.045997146818344416,0.028084921384722305,0.021647526224335963,0.01719911759565715,0.035330766223880636,0.01386561508486379,0.010150907972998863,0.010057804635273017,0.011730233025375717,0.019614113420979802,0.014626990430520233,0.013861766931527705,0.014933103530997619,0.016440548689605712,0.02334692650391156,0.014600893857293771,0.04645856414147864
1,0.0006190242027911402,0.0007951015127988721,0.0014345165614733186,0.00067865412592278,0.0450777175258932,0.05077468772320667,0.05024039354915454,0.04771246218456589,0.028760888115515557,0.02623898160571946,0.01673852039074819,0.020778699869395647,0.00989023329746503,0.01693715820659495,0.010346023474996446,0.011755639482255992,0.020560316906927667,0.012369531223860279,0.016910858750247917,0.01789201582859208,0.023655265783334822,0.03898615756428026,0.016462739724868773,0.011404880057833617
2,0.0016845773611540297,0.0006902248120788741,0.0010947507913234263,0.0011610078949049894,0.044691100858175715,0.04626239644250479,0.05029657836916995,0.04772607758708337,0.033064312989932086,0.02501459849548861,0.015945593478142596,0.02405615488984544,0.011367932290126276,0.009478737287414827,0.010105408082961304,0.013244377821553648,0.014876511571058848,0.015280143028230189,0.015031939602290193,0.012446921672299532,0.030152573363096933,0.010671333757122328,0.014354851828339996,0.032198798355173926
3,0.003129299136889413,0.0006433433929253625,0.0009555135875844784,0.0010704242266265569,0.04843449342212287,0.04593317432433612,0.04911962979731838,0.04859950265623708,0.03162867235505231,0.02370627508141816,0.01686243208044487,0.013830733389061323,0.02867598157894837,0.010816924894802054,0.027181820831824563,0.011066516902466959,0.01387353999257678,0.02985103676338545,0.015349336885057217,0.03136904339300515,0.016221175220485048,0.019302956252682257,0.015264636087526203,0.017004461301936866
4,0.0051348390542114005,0.00186015562614611,0.0012929257960167184,0.0029535583379160816,0.04734723816936611,0.058516051175004406,0.04628850198452795,0.04412488313330052,0.021775995697463822,0.02354894240637081,0.020474124808838787,0.032331396715146336,0.009750171606552708,0.012722018020800726,0.009634199107667722,0.020735361518400067,0.016294347746830477,0.015603468376787749,0.016396258993828294,0.012993039167622442,0.013694673204221115,0.01223626187021302,0.015031768884549216,0.014673809061921624
5,0.0012365628284825036,0.0013188807604319313,0.0006951895434190979,0.0018949166577931899,0.05425265688067044,0.04743176534529652,0.045193603797059334,0.047053942665491594,0.024027996773370936,0.03382295461028446,0.026237435188696655,0.019750809719489157,0.011138801973835476,0.009561138302587998,0.011359783731032616,0.013697397097509546,0.014839480320703063,0.024262900777103445,0.014684536822517464,0.015122702503637425,0.026344470173168714,0.014892492683096208,0.03039789812447904,0.01601852883539733
6,0.0010400737317365688,0.0009533472566672221,0.002980627589325768,0.0012613924070885043,0.04609902719112113,0.047201117979964,0.04537770659961104,0.04616363473940261,0.014647617427335618,0.019213384938811896,0.01982762607131886,0.02495308216855638,0.018756693150739877,0.009217467983184768,0.02676784347123126,0.008741819184572595,0.026115884337438063,0.01582146040438161,0.015699387832382977,0.015387634502716376,0.02456283965139688,0.021653352630022986,0.013790982574697512,0.020603524058116586
7,0.0007521610470632241,0.0010081492016286722,0.0011475342937359672,0.0005508231325714928,0.04464761686818064,0.04597252622165252,0.0460973667865716,0.047985381496452484,0.025578345158739975,0.016903028444527842,0.017799839233270207,0.03510170791998326,0.011540246462224844,0.01160133918620232,0.011875441711337267,0.010032049939270515,0.016018917476774884,0.014070585705675341,0.01628326175280513,0.029823045453121193,0.020065073330510275,0.023039807886845905,0.026930906656624547,0.016477650324079263
8,0.0010210802635003827,0.0011629705227448293,0.0005937945169389548,0.0008357710251958523,0.0483328816562841,0.0466978698302751,0.04655971384094638,0.044716429653078475,0.017916971993657483,0.018662832877177998,0.018006203558339373,0.0239602482523763,0.009957388233579193,0.012634707008145014,0.012084308035010947,0.0202056866801006,0.015089135626912996,0.022312877202062074,0.014165506006373773,0.016221705862337826,0.015920910485271413,0.02490847683095289,0.01279343751192923,0.03235335428650681
9,0.0032491751484544397,0.001432337194795871,0.0022781817967625893,0.0006352389420950468,0.04656639813812332,0.045929694376065186,0.0507504555644883,0.04549264325573955,0.02869657371931462,0.02578269698722605,0.018606391353707293,0.03867541425693335,0.010949178519869445,0.012384049132022781,0.016386540924542933,0.010506850523894329,0.01648933010655462,0.015684960799160506,0.014841125128215076,0.017890223481756663,0.016678002225698582,0.013037120479730368,0.013887417229801169,0.01838403351965942
